Rockin1\file176.wav,i need my watch find it please,"SEARCHING(theme:""it"")"
Rockin1\file178.wav,robot listen go into the bedroom and find the black pen it should be on the nightstand,"MOTION(goal:""into the bedroom"")#SEARCHING(theme:""the black pen"")"
Rockin1\file180.wav,sorry robot can you go to the kitchen and turn on the coffee machine,"MOTION(goal:""to the kitchen"")"
Rockin2\speech6857576131066848554.wav,please pick up the phone,"TAKING(theme:""the phone"")"
Rockin2\speech7106063757464601171.wav,find the towel,"SEARCHING(theme:""the towel"")"
Rockin2\speech2536211817953531488.wav,look for the towel,"SEARCHING(theme:""for the towel"")"
Rockin2\speech5786176783040341942.wav,go to the laundry room,"MOTION(goal:""to the laundry room"")"
Rockin2\speech873909522689234449.wav,go straight to the living room,"MOTION(goal:""straight to the living room"")"
Rockin2\speech4519345141694864796.wav,find the bottle of water and water the plant,"SEARCHING(theme:""the bottle of water"")"
Rockin2\speech5514722351757797475.wav,look for the towel,"SEARCHING(theme:""for the towel"")"
Rockin2\speech3029078072250370362.wav,go to the laundry room,"MOTION(goal:""to the laundry room"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_3.wav,find the phone,"SEARCHING(theme:""the phone"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_bitbots_fb_mic_phase_speech_audio_6.wav,drop the pillow,"PLACING(theme:""the pillow"")"
Rockin2014_Toulouse\round1_Pumas_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_Pumas_fb_mic_phase_speech_audio_3.wav,find the phone,"SEARCHING(theme:""the phone"")"
Rockin2014_Toulouse\round1_Pumas_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_Ursus_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_Ursus_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_Ursus_fb_mic_phase_speech_audio_7.wav,go near the fridge,"MOTION(goal:""near the fridge"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_1.wav,search for my tablet,"SEARCHING(theme:""for my tablet"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_3.wav,find the phone,"SEARCHING(theme:""the phone"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_4.wav,move to the bathroom,"MOTION(goal:""the bathroom"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_5.wav,drop the pillow,"PLACING(theme:""the pillow"")"
Rockin2014_Toulouse\round1_Watermelon_fb_mic_phase_speech_audio_6.wav,go near the fridge,"MOTION(goal:""near the fridge"")"
Rockin2014_Toulouse\round2_Pumas_fb_mic_phase_speech_audio_1.wav,take the newspaper,"TAKING(theme:""the newspaper"")"
Rockin2014_Toulouse\round2_Pumas_fb_mic_phase_speech_audio_2.wav,find my keys,"SEARCHING(theme:""my keys"")"
Rockin2014_Toulouse\round2_Pumas_fb_mic_phase_speech_audio_3.wav,move next to the bed,"MOTION(goal:""next to the bed"")"
Rockin2014_Toulouse\round2_Ursus_fb_mic_phase_speech_audio_1.wav,take the newspaper,"TAKING(theme:""the newspaper"")"
Rockin2014_Toulouse\round2_Ursus_fb_mic_phase_speech_audio_2.wav,find my keys,"SEARCHING(theme:""my keys"")"
Rockin2014_Toulouse\round2_Ursus_fb_mic_phase_speech_audio_3.wav,move next to the bed,"MOTION(goal:""next to the bed"")"
Rockin2014_Toulouse\round2_Watermelon_fb_mic_phase_speech_audio_1.wav,take the newspaper,"TAKING(theme:""the newspaper"")"
Rockin2014_Toulouse\round2_Watermelon_fb_mic_phase_speech_audio_2.wav,find my keys,"SEARCHING(theme:""my keys"")"
Rockin2014_Toulouse\round2_Watermelon_fb_mic_phase_speech_audio_3.wav,move next to the bed,"MOTION(goal:""next to the bed"")"
Rockin2014_Toulouse\round4_bitbots_fb_mic_phase_speech_audio_6.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Ursus_fb_mic_phase_speech_audio_1.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Ursus_fb_mic_phase_speech_audio_7.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Watermelon_fb_mic_phase_speech_audio_1.wav,go close to the table,"MOTION(goal:""close to the table"")"
Rockin2014_Toulouse\round4_Watermelon_fb_mic_phase_speech_audio_7.wav,go close to the table,"MOTION(goal:""close to the table"")"
